segment,capex,annual_rev,opex_annual,net_annual,payback_years,roi_pct,rev_per_kwh
Privat_10kWh,4000,129.73123401035136,60.0,69.73123401035136,57.363103590081515,1.743280850258784,12.973123401035135
Gewerbe_100kWh,30000,1371.1880210781976,450.0,921.1880210781976,32.56664146032503,3.0706267369273252,13.711880210781976
Industrie_1MWh,220000,13165.57867866831,3300.0,9865.57867866831,22.29975627032315,4.484353944849231,13.165578678668309
Utility_10MWh,1800000,79063.30735364102,27000.0,52063.30735364102,34.573293390169496,2.892405964091168,7.906330735364103
