yearmonth,spread_median,volatility,mean_price,neg_price_h
2022-12-01,0.0,,0.03,0
2023-01-01,28.180000000000007,40.957363975178424,157.4591801075269,10
2023-02-01,25.439999999999998,20.593201792329726,153.76,0
2023-03-01,19.74000000000001,23.46478108801619,124.42708333333333,0
2023-04-01,23.114999999999988,27.64224571096655,116.12230555555556,4
2023-05-01,22.880000000000024,27.51160152287353,85.80236559139784,11
2023-06-01,26.89,33.05541214508453,92.23231944444446,18
2023-07-01,23.487499999999997,34.59759497579982,82.42369623655914,20
2023-08-01,24.427499999999995,29.992721069004013,94.53095430107527,0
2023-09-01,22.622500000000002,24.750555426381585,97.02127777777778,0
2023-10-01,23.572500000000005,34.02449219405378,105.44682795698925,3
2023-11-01,18.518750000000004,37.226519295265696,103.23856944444445,2
2023-12-01,18.7025,42.756259925594875,80.9764180107527,8
2024-01-01,12.462499999999991,23.157428407371043,84.00504032258064,0
2024-02-01,10.367500000000007,12.69847924480963,69.91400862068966,0
2024-03-01,11.810000000000002,20.22865253313675,72.49256720430108,13
2024-04-01,24.421250000000008,34.23902954643995,62.23137499999999,50
2024-05-01,27.015,33.56653329016117,62.04559139784946,48
2024-06-01,18.412499999999994,26.88331738322627,48.14013888888889,54
2024-07-01,15.405000000000001,29.6647694027395,38.67604838709677,62
2024-08-01,14.86999999999999,32.40703689462053,58.66470430107527,31
2024-09-01,26.515,33.896566150404546,81.07261111111112,18
2024-10-01,29.310000000000002,35.8787468946497,83.3565994623656,16
2024-11-01,21.432499999999997,22.53859160282039,124.82322222222223,0
2024-12-01,18.625,35.27497194795977,126.1760685483871,0
2025-01-01,19.62250000000003,27.195969751901092,136.49161290322579,0
2025-02-01,19.66625000000002,19.878055212309487,148.06730654761904,0
2025-03-01,32.172500000000014,32.016780862013555,116.91934139784946,11
2025-04-01,35.963750000000005,45.79320495338197,84.73148611111111,63
2025-05-01,74.6925,49.286607619625336,70.27044354838709,86
2025-06-01,74.04875000000001,43.531028693712926,63.165819444444445,77
2025-07-01,23.864999999999995,26.62336494171616,91.12012096774193,7
2025-08-01,29.845,35.303999983685685,78.99670698924731,44
2025-09-01,19.333750000000002,26.828192323970825,96.32622222222223,15
2025-10-01,23.052499999999995,21.387323603409225,106.24620967741934,0
2025-11-01,22.642500000000005,27.084617923499135,116.84781944444444,0
2025-12-01,14.962500000000006,16.85807104383032,114.09651209677419,0
2026-01-01,17.012500000000003,23.13661893838295,133.25147849462365,0
2026-02-01,18.45125,19.578983983727852,114.04291666666666,0
2026-03-01,21.08250000000001,32.84831768570669,133.3712365591398,3
2026-04-01,50.251250000000006,59.61440536920595,92.02358638743456,39
